Age,Income,Employment_Status,Education_Level,Marital_Status,Number_of_Dependents,Credit_Utilization_Ratio,Missed_Payments_90days,Total_Credit_Accounts,Debt_to_Income_Ratio,Length_of_Credit_History,Bankruptcies,Credit_Score,Credit_Score_Label
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
52,147222.07,Unemployed,High School,Divorced,4,45.84,1,2,31.81,13.2,0,644.4766666666667,Fair
50,142313.8,Self-Employed,PhD,Single,1,54.63,1,12,48.41,9.0,0,651.5483333333333,Fair
39,139016.78,Retired,Master,Single,2,79.56,0,12,12.2,10.8,0,664.1533333333333,Fair
25,133533.77,Retired,Bachelor,Single,4,75.82,2,8,51.03,4.5,0,612.08,Fair
25,133533.77,Retired,Bachelor,Single,4,75.82,2,8,51.03,4.5,0,612.08,Fair
21,148594.04,Unemployed,High School,Single,2,9.08,2,14,22.45,10.7,0,600.9766666666667,Fair
37,71659.27,Employed,Bachelor,Married,4,9.09,1,13,6.29,12.2,0,615.3583333333333,Fair
68,60595.33,Employed,PhD,Single,2,26.1,0,11,10.53,3.2,0,608.44,Fair
58,55399.24,Unemployed,High School,Married,2,23.31,2,8,47.47,11.5,0,662.5216666666666,Fair
59,38085.11,Self-Employed,Master,Married,0,55.88,1,5,48.68,7.3,0,599.8333333333333,Fair
41,49974.0,Retired,Bachelor,Divorced,2,59.46,1,8,52.69,13.2,0,643.7066666666667,Fair
22,97832.82,Retired,High School,Divorced,1,19.95,1,7,38.72,14.4,0,598.1183333333333,Fair
67,39445.48,Self-Employed,High School,Single,3,63.69,2,8,15.52,13.6,0,633.9816666666666,Fair
36,41623.11,Unemployed,Master,Divorced,0,57.21,3,12,38.23,15.1,0,594.6516666666666,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
68,76322.08,Unemployed,PhD,Married,4,47.18,0,1,55.51,6.8,0,582.9066666666666,Fair
66,109175.81,Unemployed,PhD,Married,1,42.44,1,5,53.13,15.1,0,637.0699999999999,Fair
61,26102.9,Unemployed,PhD,Single,2,20.49,1,2,36.15,8.2,0,581.7049999999999,Fair
28,90620.26,Unemployed,PhD,Divorced,0,10.48,0,14,39.02,14.9,1,619.7533333333333,Fair
42,27234.95,Retired,High School,Divorced,3,67.23,3,7,17.41,8.0,0,635.5816666666667,Fair
54,137718.22,Self-Employed,High School,Single,3,75.78,0,9,43.94,14.1,0,618.4633333333334,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
50,33285.17,Retired,PhD,Married,4,15.3,0,4,56.88,13.0,1,592.39,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
54,137718.22,Self-Employed,High School,Single,3,75.78,0,9,43.94,14.1,0,618.4633333333334,Fair
60,104697.53,Self-Employed,Master,Divorced,2,7.83,4,1,53.48,15.1,0,667.2583333333333,Fair
57,128820.27,Unemployed,Master,Divorced,1,52.46,0,10,48.75,9.2,0,621.52,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
56,97356.37,Employed,Master,Divorced,0,44.03,4,5,56.34,1.0,0,616.205,Fair
55,35059.7,Unemployed,Bachelor,Married,0,15.44,1,5,57.78,16.2,0,640.02,Fair
58,110115.21,Self-Employed,PhD,Married,4,79.53,1,7,19.56,8.1,0,625.715,Fair
36,139428.11,Retired,Bachelor,Married,2,51.44,1,1,50.81,4.4,0,664.3433333333332,Fair
63,61105.56,Employed,Bachelor,Single,3,59.93,1,12,41.8,11.2,0,589.1016666666667,Fair
33,103221.87,Unemployed,High School,Single,1,79.49,2,3,17.39,19.2,0,586.4583333333333,Fair
61,69518.24,Self-Employed,PhD,Divorced,2,35.18,4,9,12.14,19.5,1,645.3633333333333,Fair
63,124690.95,Employed,Master,Single,0,63.34,2,10,18.1,13.6,0,582.2966666666666,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
63,141161.86,Unemployed,Master,Divorced,0,41.9,0,7,12.94,16.8,0,632.7366666666667,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
50,33285.17,Retired,PhD,Married,4,15.3,0,4,56.88,13.0,1,592.39,Fair
30,28987.26,Self-Employed,Bachelor,Married,0,77.58,2,4,12.24,2.9,0,643.13,Fair
24,26707.45,Self-Employed,Bachelor,Single,0,9.57,4,13,55.0,4.8,0,640.8816666666667,Fair
56,76831.5,Unemployed,High School,Single,2,54.33,4,7,21.63,18.1,0,609.625,Fair
38,124762.44,Unemployed,Master,Married,1,11.08,4,8,13.56,2.1,0,611.94,Fair
36,139428.11,Retired,Bachelor,Married,2,51.44,1,1,50.81,4.4,0,664.3433333333332,Fair
51,54644.79,Self-Employed,High School,Single,4,19.61,2,1,22.21,4.1,0,637.7916666666667,Fair
39,113292.65,Employed,Master,Married,0,41.17,2,11,14.61,4.2,0,592.545,Fair
68,29815.44,Retired,Bachelor,Divorced,3,15.72,2,1,17.69,9.1,0,649.2433333333333,Fair
25,133533.77,Retired,Bachelor,Single,4,75.82,2,8,51.03,4.5,0,612.08,Fair
69,20352.42,Retired,PhD,Married,1,67.43,3,12,57.53,16.4,0,642.1083333333333,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
51,54644.79,Self-Employed,High School,Single,4,19.61,2,1,22.21,4.1,0,637.7916666666667,Fair
40,31762.62,Retired,PhD,Single,4,65.42,3,14,57.19,10.4,0,597.2266666666667,Fair
54,137718.22,Self-Employed,High School,Single,3,75.78,0,9,43.94,14.1,0,618.4633333333334,Fair
26,55249.17,Unemployed,High School,Single,4,70.14,2,2,19.14,7.3,0,581.55,Fair
44,143409.88,Employed,Master,Divorced,4,47.88,1,4,52.27,18.2,0,654.6366666666667,Fair
56,78027.92,Employed,High School,Married,1,58.6,2,2,7.41,19.6,0,626.23,Fair
26,55249.17,Unemployed,High School,Single,4,70.14,2,2,19.14,7.3,0,581.55,Fair
22,97832.82,Retired,High School,Divorced,1,19.95,1,7,38.72,14.4,0,598.1183333333333,Fair
64,27997.21,Employed,Master,Divorced,4,56.2,3,13,28.62,15.9,0,656.3599999999999,Fair
56,76831.5,Unemployed,High School,Single,2,54.33,4,7,21.63,18.1,0,609.625,Fair
58,110115.21,Self-Employed,PhD,Married,4,79.53,1,7,19.56,8.1,0,625.715,Fair
43,117980.85,Retired,Master,Single,4,14.92,0,7,37.27,3.1,0,605.1166666666667,Fair
30,28987.26,Self-Employed,Bachelor,Married,0,77.58,2,4,12.24,2.9,0,643.13,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
42,50007.79,Self-Employed,Master,Divorced,1,26.35,4,3,55.26,6.1,0,594.4050000000001,Fair
28,90620.26,Unemployed,PhD,Divorced,0,10.48,0,14,39.02,14.9,1,619.7533333333333,Fair
66,38430.67,Self-Employed,High School,Single,0,13.57,0,11,16.57,17.4,0,654.6916666666666,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
63,50652.97,Employed,Master,Divorced,2,55.36,3,8,13.11,8.2,0,659.95,Fair
55,35059.7,Unemployed,Bachelor,Married,0,15.44,1,5,57.78,16.2,0,640.02,Fair
44,143409.88,Employed,Master,Divorced,4,47.88,1,4,52.27,18.2,0,654.6366666666667,Fair
21,148594.04,Unemployed,High School,Single,2,9.08,2,14,22.45,10.7,0,600.9766666666667,Fair
49,86972.58,Employed,PhD,Divorced,4,19.77,0,13,16.98,17.7,0,590.4549999999999,Fair
35,75188.57,Unemployed,High School,Divorced,2,6.86,3,2,20.3,16.0,0,595.8033333333333,Fair
60,120344.66,Self-Employed,Bachelor,Married,4,27.3,3,3,43.11,9.4,0,594.98,Fair
51,54644.79,Self-Employed,High School,Single,4,19.61,2,1,22.21,4.1,0,637.7916666666667,Fair
54,137718.22,Self-Employed,High School,Single,3,75.78,0,9,43.94,14.1,0,618.4633333333334,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
30,88461.09,Employed,Bachelor,Married,2,11.32,1,8,46.83,7.0,0,594.73,Fair
49,41897.77,Retired,Master,Married,4,42.29,2,9,33.19,19.4,0,607.7916666666667,Fair
68,60595.33,Employed,PhD,Single,2,26.1,0,11,10.53,3.2,0,608.44,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
49,86972.58,Employed,PhD,Divorced,4,19.77,0,13,16.98,17.7,0,590.4549999999999,Fair
50,21173.95,Unemployed,PhD,Divorced,4,43.8,1,7,23.62,2.8,0,615.2266666666667,Fair
47,66702.6,Employed,PhD,Married,4,34.8,1,9,51.94,18.5,0,630.2866666666666,Fair
47,21586.4,Employed,High School,Divorced,2,17.19,3,12,35.57,18.1,0,586.5483333333333,Fair
63,49556.45,Employed,Master,Divorced,0,40.72,0,4,50.81,6.9,0,642.7033333333334,Fair
58,55399.24,Unemployed,High School,Married,2,23.31,2,8,47.47,11.5,0,662.5216666666666,Fair
27,23821.28,Unemployed,High School,Married,0,40.86,1,10,33.51,18.8,0,606.4,Fair
52,66003.28,Unemployed,Master,Single,3,53.92,3,11,28.45,17.2,0,632.5566666666666,Fair
22,61683.48,Retired,Master,Single,4,64.74,4,12,29.31,14.4,0,589.86,Fair
34,50667.78,Unemployed,High School,Divorced,4,28.02,0,14,21.29,13.2,0,630.8933333333333,Fair
34,50667.78,Unemployed,High School,Divorced,4,28.02,0,14,21.29,13.2,0,630.8933333333333,Fair
60,120344.66,Self-Employed,Bachelor,Married,4,27.3,3,3,43.11,9.4,0,594.98,Fair
55,80541.02,Unemployed,High School,Single,4,30.64,0,9,39.86,15.2,0,655.3933333333332,Fair
68,76322.08,Unemployed,PhD,Married,4,47.18,0,1,55.51,6.8,0,582.9066666666666,Fair
56,46725.38,Employed,Bachelor,Married,2,36.7,0,12,12.17,7.5,0,646.5933333333334,Fair
64,98241.2,Employed,Master,Divorced,0,66.86,1,4,44.31,7.0,1,607.8000000000001,Fair
23,96474.29,Unemployed,Master,Single,4,32.12,2,2,34.28,7.0,0,641.5133333333334,Fair
51,54644.79,Self-Employed,High School,Single,4,19.61,2,1,22.21,4.1,0,637.7916666666667,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
30,129500.82,Self-Employed,PhD,Married,0,78.26,4,2,16.65,10.6,0,650.32,Fair
52,89559.06,Employed,PhD,Married,2,10.11,0,1,41.4,8.9,1,606.1450000000001,Fair
60,52594.99,Self-Employed,High School,Married,0,25.45,1,8,33.97,6.0,0,580.9516666666666,Fair
43,118102.59,Self-Employed,Master,Married,4,39.15,3,1,25.42,15.1,0,640.9516666666666,Fair
63,49556.45,Employed,Master,Divorced,0,40.72,0,4,50.81,6.9,0,642.7033333333334,Fair
54,108813.9,Retired,Bachelor,Married,0,52.08,2,10,53.11,10.3,0,657.2566666666667,Fair
30,50507.62,Employed,PhD,Married,1,48.18,3,14,28.87,3.9,0,655.2866666666666,Fair
47,111939.91,Self-Employed,Bachelor,Married,4,63.53,1,11,32.22,4.2,0,623.495,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
66,109175.81,Unemployed,PhD,Married,1,42.44,1,5,53.13,15.1,0,637.0699999999999,Fair
68,29815.44,Retired,Bachelor,Divorced,3,15.72,2,1,17.69,9.1,0,649.2433333333333,Fair
59,38085.11,Self-Employed,Master,Married,0,55.88,1,5,48.68,7.3,0,599.8333333333333,Fair
28,90620.26,Unemployed,PhD,Divorced,0,10.48,0,14,39.02,14.9,1,619.7533333333333,Fair
54,108813.9,Retired,Bachelor,Married,0,52.08,2,10,53.11,10.3,0,657.2566666666667,Fair
31,97782.54,Unemployed,Bachelor,Single,0,66.13,3,6,57.75,8.4,0,609.685,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
22,97832.82,Retired,High School,Divorced,1,19.95,1,7,38.72,14.4,0,598.1183333333333,Fair
25,133533.77,Retired,Bachelor,Single,4,75.82,2,8,51.03,4.5,0,612.08,Fair
53,137484.12,Employed,Master,Divorced,4,29.64,2,12,31.13,3.3,0,668.8033333333333,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
27,69246.8,Self-Employed,High School,Divorced,3,15.15,1,5,11.23,17.4,2,586.6816666666666,Fair
46,53282.02,Employed,Master,Single,4,16.13,3,8,54.21,6.0,0,640.8649999999999,Fair
44,143409.88,Employed,Master,Divorced,4,47.88,1,4,52.27,18.2,0,654.6366666666667,Fair
27,144562.2,Employed,Master,Married,0,18.71,3,7,56.23,14.3,0,666.9016666666666,Fair
53,137484.12,Employed,Master,Divorced,4,29.64,2,12,31.13,3.3,0,668.8033333333333,Fair
58,110115.21,Self-Employed,PhD,Married,4,79.53,1,7,19.56,8.1,0,625.715,Fair
59,38085.11,Self-Employed,Master,Married,0,55.88,1,5,48.68,7.3,0,599.8333333333333,Fair
33,71875.97,Employed,High School,Single,3,40.44,4,7,7.53,16.1,1,662.27,Fair
47,121464.44,Self-Employed,High School,Divorced,0,39.45,4,7,24.34,6.9,0,610.1616666666666,Fair
52,148719.29,Retired,Master,Single,2,7.5,3,2,26.07,2.9,0,621.56,Fair
33,103221.87,Unemployed,High School,Single,1,79.49,2,3,17.39,19.2,0,586.4583333333333,Fair
53,68658.58,Unemployed,Master,Single,3,8.08,1,6,25.03,1.5,1,649.6166666666667,Fair
37,67182.76,Retired,Bachelor,Married,4,20.11,2,11,40.79,10.9,1,645.3483333333334,Fair
50,142313.8,Self-Employed,PhD,Single,1,54.63,1,12,48.41,9.0,0,651.5483333333333,Fair
43,118102.59,Self-Employed,Master,Married,4,39.15,3,1,25.42,15.1,0,640.9516666666666,Fair
58,110115.21,Self-Employed,PhD,Married,4,79.53,1,7,19.56,8.1,0,625.715,Fair
57,91423.85,Unemployed,PhD,Married,4,67.08,1,5,53.14,4.0,0,588.7466666666667,Fair
25,124890.52,Retired,High School,Married,4,44.37,1,11,11.23,4.1,0,642.0716666666667,Fair
56,97356.37,Employed,Master,Divorced,0,44.03,4,5,56.34,1.0,0,616.205,Fair
54,114392.43,Employed,High School,Divorced,4,17.91,3,6,19.72,4.1,0,627.4716666666666,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
54,102302.75,Self-Employed,High School,Single,3,59.87,2,4,8.14,1.7,0,581.3516666666667,Fair
42,50007.79,Self-Employed,Master,Divorced,1,26.35,4,3,55.26,6.1,0,594.4050000000001,Fair
26,55249.17,Unemployed,High School,Single,4,70.14,2,2,19.14,7.3,0,581.55,Fair
60,134221.78,Retired,Master,Married,3,42.45,0,13,11.42,13.7,0,647.9683333333332,Fair
24,26707.45,Self-Employed,Bachelor,Single,0,9.57,4,13,55.0,4.8,0,640.8816666666667,Fair
49,41897.77,Retired,Master,Married,4,42.29,2,9,33.19,19.4,0,607.7916666666667,Fair
33,65700.22,Unemployed,PhD,Married,4,21.85,0,7,55.52,17.7,0,648.5683333333334,Fair
68,63467.17,Retired,Master,Divorced,0,5.93,4,14,29.08,18.5,0,662.3416666666667,Fair
58,73164.17,Employed,PhD,Single,3,70.11,4,3,49.43,17.9,0,648.4683333333332,Fair
45,31510.64,Unemployed,Bachelor,Married,3,71.44,1,3,17.7,3.5,0,586.38,Fair
22,61683.48,Retired,Master,Single,4,64.74,4,12,29.31,14.4,0,589.86,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
35,75188.57,Unemployed,High School,Divorced,2,6.86,3,2,20.3,16.0,0,595.8033333333333,Fair
50,21173.95,Unemployed,PhD,Divorced,4,43.8,1,7,23.62,2.8,0,615.2266666666667,Fair
61,107285.21,Retired,High School,Divorced,1,69.69,2,13,34.89,1.9,0,649.525,Fair
69,77498.84,Retired,Bachelor,Married,4,26.1,4,2,40.06,12.1,0,612.5966666666666,Fair
67,39445.48,Self-Employed,High School,Single,3,63.69,2,8,15.52,13.6,0,633.9816666666666,Fair
36,24887.58,Self-Employed,High School,Single,0,66.21,0,5,49.11,16.1,0,604.525,Fair
47,121464.44,Self-Employed,High School,Divorced,0,39.45,4,7,24.34,6.9,0,610.1616666666666,Fair
52,148719.29,Retired,Master,Single,2,7.5,3,2,26.07,2.9,0,621.56,Fair
52,66003.28,Unemployed,Master,Single,3,53.92,3,11,28.45,17.2,0,632.5566666666666,Fair
42,50007.79,Self-Employed,Master,Divorced,1,26.35,4,3,55.26,6.1,0,594.4050000000001,Fair
37,124517.01,Retired,Bachelor,Married,4,59.23,2,3,33.05,8.6,0,626.3683333333333,Fair
21,62006.99,Unemployed,High School,Single,2,70.45,0,5,10.2,9.0,0,643.375,Fair
33,100230.25,Employed,Master,Married,4,31.26,0,6,38.22,9.4,0,588.63,Fair
27,144562.2,Employed,Master,Married,0,18.71,3,7,56.23,14.3,0,666.9016666666666,Fair
27,144562.2,Employed,Master,Married,0,18.71,3,7,56.23,14.3,0,666.9016666666666,Fair
52,148719.29,Retired,Master,Single,2,7.5,3,2,26.07,2.9,0,621.56,Fair
60,52594.99,Self-Employed,High School,Married,0,25.45,1,8,33.97,6.0,0,580.9516666666666,Fair
61,26102.9,Unemployed,PhD,Single,2,20.49,1,2,36.15,8.2,0,581.7049999999999,Fair
34,116389.92,Self-Employed,Bachelor,Divorced,2,13.56,2,4,34.53,12.9,0,595.71,Fair
44,143409.88,Employed,Master,Divorced,4,47.88,1,4,52.27,18.2,0,654.6366666666667,Fair
54,142360.88,Employed,Master,Married,3,21.79,4,12,13.92,8.1,0,611.465,Fair
22,61683.48,Retired,Master,Single,4,64.74,4,12,29.31,14.4,0,589.86,Fair
39,139016.78,Retired,Master,Single,2,79.56,0,12,12.2,10.8,0,664.1533333333333,Fair
24,26707.45,Self-Employed,Bachelor,Single,0,9.57,4,13,55.0,4.8,0,640.8816666666667,Fair
46,129258.81,Self-Employed,Master,Divorced,1,24.57,1,12,35.79,17.6,1,608.7850000000001,Fair
41,46660.08,Unemployed,Master,Married,1,47.95,1,6,30.3,8.7,0,630.925,Fair
64,147070.63,Unemployed,Master,Married,1,30.45,2,11,12.29,14.4,0,636.6783333333333,Fair
47,111939.91,Self-Employed,Bachelor,Married,4,63.53,1,11,32.22,4.2,0,623.495,Fair
27,23821.28,Unemployed,High School,Married,0,40.86,1,10,33.51,18.8,0,606.4,Fair
22,97832.82,Retired,High School,Divorced,1,19.95,1,7,38.72,14.4,0,598.1183333333333,Fair
68,123583.72,Self-Employed,PhD,Married,0,61.27,0,12,37.59,18.2,0,610.835,Fair
45,125957.08,Retired,High School,Single,1,29.37,3,10,51.78,1.5,0,652.0550000000001,Fair
50,22387.79,Unemployed,Master,Single,0,15.28,2,6,22.85,17.5,0,641.7433333333333,Fair
52,101033.23,Retired,High School,Single,4,54.19,3,7,56.23,4.8,0,613.1616666666666,Fair
57,128820.27,Unemployed,Master,Divorced,1,52.46,0,10,48.75,9.2,0,621.52,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
60,134221.78,Retired,Master,Married,3,42.45,0,13,11.42,13.7,0,647.9683333333332,Fair
33,71875.97,Employed,High School,Single,3,40.44,4,7,7.53,16.1,1,662.27,Fair
66,109175.81,Unemployed,PhD,Married,1,42.44,1,5,53.13,15.1,0,637.0699999999999,Fair
28,143155.56,Unemployed,Master,Single,2,13.9,0,2,50.25,4.4,0,596.3,Fair
63,49556.45,Employed,Master,Divorced,0,40.72,0,4,50.81,6.9,0,642.7033333333334,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
68,60595.33,Employed,PhD,Single,2,26.1,0,11,10.53,3.2,0,608.44,Fair
56,78027.92,Employed,High School,Married,1,58.6,2,2,7.41,19.6,0,626.23,Fair
37,124517.01,Retired,Bachelor,Married,4,59.23,2,3,33.05,8.6,0,626.3683333333333,Fair
52,85297.49,Employed,Master,Married,4,24.69,3,12,34.75,14.1,0,623.0716666666667,Fair
69,77498.84,Retired,Bachelor,Married,4,26.1,4,2,40.06,12.1,0,612.5966666666666,Fair
27,144562.2,Employed,Master,Married,0,18.71,3,7,56.23,14.3,0,666.9016666666666,Fair
50,33285.17,Retired,PhD,Married,4,15.3,0,4,56.88,13.0,1,592.39,Fair
30,50507.62,Employed,PhD,Married,1,48.18,3,14,28.87,3.9,0,655.2866666666666,Fair
60,116858.39,Unemployed,Master,Single,2,50.87,1,12,28.91,11.3,0,642.9283333333334,Fair
67,64528.15,Retired,PhD,Divorced,2,32.27,0,9,23.59,1.8,0,630.0016666666667,Fair
53,68658.58,Unemployed,Master,Single,3,8.08,1,6,25.03,1.5,1,649.6166666666667,Fair
57,91423.85,Unemployed,PhD,Married,4,67.08,1,5,53.14,4.0,0,588.7466666666667,Fair
39,113292.65,Employed,Master,Married,0,41.17,2,11,14.61,4.2,0,592.545,Fair
36,139428.11,Retired,Bachelor,Married,2,51.44,1,1,50.81,4.4,0,664.3433333333332,Fair
27,144562.2,Employed,Master,Married,0,18.71,3,7,56.23,14.3,0,666.9016666666666,Fair
25,109467.02,Retired,Master,Divorced,3,48.42,0,9,40.29,2.3,0,653.36,Fair
34,49293.26,Self-Employed,PhD,Single,0,79.16,4,11,32.97,12.6,0,619.4300000000001,Fair
30,146820.37,Unemployed,Master,Married,1,38.09,3,7,42.24,5.9,0,588.875,Fair
60,104697.53,Self-Employed,Master,Divorced,2,7.83,4,1,53.48,15.1,0,667.2583333333333,Fair
52,147222.07,Unemployed,High School,Divorced,4,45.84,1,2,31.81,13.2,0,644.4766666666667,Fair
47,143315.84,Employed,Bachelor,Divorced,2,22.37,0,7,13.96,18.4,0,636.1616666666666,Fair
51,54644.79,Self-Employed,High School,Single,4,19.61,2,1,22.21,4.1,0,637.7916666666667,Fair
32,80910.12,Self-Employed,High School,Divorced,4,68.99,4,8,54.48,10.1,0,591.345,Fair
30,50507.62,Employed,PhD,Married,1,48.18,3,14,28.87,3.9,0,655.2866666666666,Fair
36,139428.11,Retired,Bachelor,Married,2,51.44,1,1,50.81,4.4,0,664.3433333333332,Fair
64,94509.61,Self-Employed,Master,Divorced,4,75.58,1,2,56.51,7.4,0,644.3733333333333,Fair
41,49974.0,Retired,Bachelor,Divorced,2,59.46,1,8,52.69,13.2,0,643.7066666666667,Fair
47,21586.4,Employed,High School,Divorced,2,17.19,3,12,35.57,18.1,0,586.5483333333333,Fair
28,90620.26,Unemployed,PhD,Divorced,0,10.48,0,14,39.02,14.9,1,619.7533333333333,Fair
45,87763.84,Employed,Bachelor,Single,1,11.15,3,2,36.89,6.2,0,638.1283333333333,Fair
64,69201.94,Employed,High School,Single,3,26.75,4,4,51.01,9.3,1,593.6216666666667,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
52,148719.29,Retired,Master,Single,2,7.5,3,2,26.07,2.9,0,621.56,Fair
42,122412.69,Employed,PhD,Married,2,79.67,3,11,24.01,15.6,1,608.1616666666666,Fair
41,49974.0,Retired,Bachelor,Divorced,2,59.46,1,8,52.69,13.2,0,643.7066666666667,Fair
45,125957.08,Retired,High School,Single,1,29.37,3,10,51.78,1.5,0,652.0550000000001,Fair
68,123583.72,Self-Employed,PhD,Married,0,61.27,0,12,37.59,18.2,0,610.835,Fair
53,43197.98,Retired,PhD,Single,2,18.47,4,1,25.22,6.9,0,612.3583333333333,Fair
39,112114.36,Self-Employed,High School,Married,3,24.17,3,10,48.12,19.6,0,645.875,Fair
56,97356.37,Employed,Master,Divorced,0,44.03,4,5,56.34,1.0,0,616.205,Fair
35,64982.15,Employed,High School,Married,2,37.11,0,9,30.35,12.6,0,587.3283333333334,Fair
49,86972.58,Employed,PhD,Divorced,4,19.77,0,13,16.98,17.7,0,590.4549999999999,Fair
54,142360.88,Employed,Master,Married,3,21.79,4,12,13.92,8.1,0,611.465,Fair
67,64528.15,Retired,PhD,Divorced,2,32.27,0,9,23.59,1.8,0,630.0016666666667,Fair
66,148820.83,Self-Employed,High School,Married,0,49.89,0,9,28.11,1.7,0,595.685,Fair
41,49974.0,Retired,Bachelor,Divorced,2,59.46,1,8,52.69,13.2,0,643.7066666666667,Fair
35,64982.15,Employed,High School,Married,2,37.11,0,9,30.35,12.6,0,587.3283333333334,Fair
30,146820.37,Unemployed,Master,Married,1,38.09,3,7,42.24,5.9,0,588.875,Fair
46,136572.86,Unemployed,PhD,Married,3,43.86,4,4,25.53,15.5,0,663.5600000000001,Fair
62,77553.21,Employed,PhD,Single,1,78.59,4,1,17.51,1.4,0,589.8683333333333,Fair
60,104697.53,Self-Employed,Master,Divorced,2,7.83,4,1,53.48,15.1,0,667.2583333333333,Fair
34,49293.26,Self-Employed,PhD,Single,0,79.16,4,11,32.97,12.6,0,619.4300000000001,Fair
41,49974.0,Retired,Bachelor,Divorced,2,59.46,1,8,52.69,13.2,0,643.7066666666667,Fair
30,129500.82,Self-Employed,PhD,Married,0,78.26,4,2,16.65,10.6,0,650.32,Fair
64,94509.61,Self-Employed,Master,Divorced,4,75.58,1,2,56.51,7.4,0,644.3733333333333,Fair
59,38085.11,Self-Employed,Master,Married,0,55.88,1,5,48.68,7.3,0,599.8333333333333,Fair
49,53629.48,Retired,Master,Divorced,2,40.16,2,12,9.32,12.7,0,650.8133333333333,Fair
38,124762.44,Unemployed,Master,Married,1,11.08,4,8,13.56,2.1,0,611.94,Fair
60,22277.08,Unemployed,Master,Single,3,60.86,0,14,40.17,16.7,0,667.1800000000001,Fair
25,133533.77,Retired,Bachelor,Single,4,75.82,2,8,51.03,4.5,0,612.08,Fair
43,117980.85,Retired,Master,Single,4,14.92,0,7,37.27,3.1,0,605.1166666666667,Fair
26,55249.17,Unemployed,High School,Single,4,70.14,2,2,19.14,7.3,0,581.55,Fair
39,113292.65,Employed,Master,Married,0,41.17,2,11,14.61,4.2,0,592.545,Fair
66,109175.81,Unemployed,PhD,Married,1,42.44,1,5,53.13,15.1,0,637.0699999999999,Fair
49,86972.58,Employed,PhD,Divorced,4,19.77,0,13,16.98,17.7,0,590.4549999999999,Fair
54,142360.88,Employed,Master,Married,3,21.79,4,12,13.92,8.1,0,611.465,Fair
59,70892.67,Unemployed,PhD,Divorced,0,46.29,2,7,19.98,19.8,0,580.1949999999999,Fair
53,137484.12,Employed,Master,Divorced,4,29.64,2,12,31.13,3.3,0,668.8033333333333,Fair
45,31510.64,Unemployed,Bachelor,Married,3,71.44,1,3,17.7,3.5,0,586.38,Fair
20,20660.68,Unemployed,Master,Divorced,0,22.35,1,2,47.42,14.9,0,651.0183333333334,Fair
25,124890.52,Retired,High School,Married,4,44.37,1,11,11.23,4.1,0,642.0716666666667,Fair
30,133937.73,Retired,Bachelor,Single,1,17.46,1,14,21.74,3.4,0,596.0233333333333,Fair
42,122412.69,Employed,PhD,Married,2,79.67,3,11,24.01,15.6,1,608.1616666666666,Fair
66,44079.7,Retired,High School,Divorced,2,29.63,2,5,49.56,19.2,0,645.665,Fair
59,70892.67,Unemployed,PhD,Divorced,0,46.29,2,7,19.98,19.8,0,580.1949999999999,Fair
31,97782.54,Unemployed,Bachelor,Single,0,66.13,3,6,57.75,8.4,0,609.685,Fair
